class,a,all,also,an,and,any,are,as,at,be,been,but,by,can,do,down,even,every,for,from,had,has,have,her,his,if,in,into,is,it,its,may,more,must,my,no,not,now,of,on,one,only,or,our,shall,should,so,some,such,than,that,the,their,then,there,things,this,to,up,upon,was,were,what,when,which,who,will,with,would,your
1,25.776,4.2083,1.5781,0.52604,12.625,17.885,5.7864,3.1562,8.4166,23.146,7.8906,4.7344,8.9427,3.1562,0.52604,0,0.52604,4.2083,6.8385,6.3125,1.0521,3.1562,11.573,0,0,17.359,7.8906,3.1562,32.614,2.6302,8.9427,8.9427,4.7344,1.0521,0,4.2083,6.8385,0,57.864,3.1562,2.1042,1.0521,3.6823,0,1.0521,0.52604,2.1042,2.1042,2.1042,3.6823,15.255,92.057,5.2604,0,3.6823,0,9.4687,37.875,0,1.5781,0.52604,1.0521,0,1.0521,9.4687,2.6302,11.047,5.2604,8.4166,0
1,22.306,5.0505,3.367,0,9.2593,20.623,4.2088,2.5253,7.5758,22.727,3.367,4.6296,8.8384,2.1044,0,0,2.5253,1.6835,8.8384,4.6296,2.9461,2.5253,6.734,0,2.5253,18.098,1.6835,6.734,26.936,3.367,10.522,4.2088,1.2626,1.6835,0,1.6835,9.6801,0,61.448,2.9461,2.1044,2.1044,5.0505,2.1044,0.84175,2.5253,4.2088,1.6835,3.7879,2.1044,17.677,83.754,4.2088,1.2626,3.367,0,6.3131,39.562,2.1044,2.5253,4.6296,2.9461,1.2626,1.2626,8.8384,1.2626,4.6296,3.7879,6.734,0
1,26.749,1.0288,3.6008,0.5144,6.1728,18.519,1.0288,3.6008,8.7449,14.403,5.144,2.572,8.2305,0,0.5144,0,0,0.5144,3.6008,5.144,0.5144,3.6008,8.2305,0,4.1152,13.889,3.6008,1.5432,22.634,1.0288,8.7449,2.572,2.0576,1.5432,0.5144,1.0288,6.1728,1.0288,75.617,2.572,2.572,2.0576,4.6296,1.0288,3.0864,0,3.0864,1.0288,1.0288,4.1152,18.004,105.97,1.0288,0.5144,1.5432,0,7.2016,46.296,0,2.572,1.0288,0,2.0576,0,8.7449,1.0288,3.0864,7.716,13.889,0
1,22.638,1.8426,3.1587,0,5.791,22.374,3.9484,3.422,11.582,22.111,5.5278,5.0013,8.4233,1.5794,0.26323,0,0.78968,2.6323,5.5278,5.2645,1.0529,2.8955,5.791,0,0,16.847,2.6323,1.5794,34.22,0.52645,15.004,6.5807,1.0529,0.78968,0.26323,2.1058,6.8439,1.5794,63.175,4.2116,2.6323,1.5794,5.0013,1.0529,1.8426,2.1058,1.3161,1.5794,3.422,1.5794,12.372,98.71,2.8955,0.26323,5.0013,0,11.056,41.063,0.26323,3.422,0.52645,0.52645,0.52645,0.52645,10.529,1.3161,7.3704,3.422,5.5278,0
3,22.15,0.92293,4.1532,1.8459,2.7688,28.611,2.7688,8.7679,10.152,23.535,3.2303,5.0761,14.305,5.9991,0,0,1.8459,1.8459,9.6908,5.0761,0,3.6917,3.2303,0,1.3844,8.3064,0.92293,3.2303,20.766,0.92293,12.921,3.2303,4.6147,0.92293,0,4.6147,8.7679,0,58.145,3.6917,3.2303,1.8459,5.5376,1.8459,0.46147,0,1.8459,5.5376,1.8459,3.2303,11.075,88.14,1.8459,0.46147,0.92293,0,6.922,33.226,0,0,1.8459,1.8459,1.8459,0.46147,10.614,1.8459,11.537,5.0761,2.7688,0
2,27.412,7.6754,1.0965,7.6754,22.478,1.0965,9.3202,9.8684,3.8377,22.478,2.193,4.9342,10.965,3.2895,0,0,1.6447,1.0965,6.5789,7.1272,1.0965,2.7412,1.6447,1.6447,0.54825,6.0307,25.219,3.2895,13.158,14.803,2.7412,6.5789,7.6754,2.193,0,0,13.706,0.54825,50.439,9.3202,0.54825,1.6447,9.8684,0,0,1.6447,1.0965,0.54825,2.7412,0,12.061,86.075,6.0307,0.54825,1.0965,0,4.386,36.732,0.54825,0,1.6447,1.6447,0.54825,0.54825,12.61,1.6447,2.7412,3.2895,2.193,0
2,19.744,2.6681,2.1345,5.0694,23.746,2.4013,6.4034,11.74,4.2689,12.273,2.6681,4.5358,10.406,2.6681,2.4013,0.80043,1.0672,0.80043,8.5379,3.2017,2.1345,1.8677,4.8026,0.26681,7.7375,4.2689,24.28,1.334,14.408,12.54,1.334,5.0694,2.4013,1.0672,1.334,3.4685,9.8719,0,44.023,9.0715,2.4013,1.334,6.4034,3.7353,0.80043,2.1345,4.0021,0.80043,1.8677,0,16.009,67.503,4.5358,0.80043,1.8677,1.8677,6.937,38.687,0.26681,1.334,2.4013,1.0672,2.9349,0.53362,12.54,1.6009,0.53362,12.273,1.0672,1.334
1,13.341,1.6676,5.5586,0,6.1145,31.128,5.0028,10.006,12.229,25.014,3.3352,1.6676,6.1145,6.1145,0,0,0,2.2235,9.4497,3.3352,0.55586,2.7793,6.1145,0,0,12.785,6.6704,3.3352,14.452,1.1117,12.785,3.8911,1.1117,5.0028,0,1.1117,6.1145,0.55586,54.475,1.1117,1.6676,4.4469,0,3.8911,1.1117,1.1117,0.55586,0.55586,3.8911,0,15.564,102.83,4.4469,2.2235,0,0,7.7821,53.363,0,3.8911,2.2235,0.55586,0,0,17.232,1.6676,8.338,8.8938,2.2235,0
1,15.485,1.2225,7.7425,0.4075,3.26,27.71,2.8525,8.5575,8.15,19.56,5.705,1.63,5.2975,2.0375,0.4075,0.815,1.2225,0.815,4.89,2.8525,0.4075,2.445,7.7425,0,0.815,12.632,4.075,2.0375,19.152,0.4075,9.3725,5.705,0.815,0.4075,0,2.8525,6.1125,0.4075,68.052,3.6675,2.0375,0.815,8.965,0.4075,2.0375,1.63,2.0375,3.26,2.445,1.63,10.187,103.1,2.445,0.4075,2.8525,0.815,5.705,46.047,0.4075,2.445,1.2225,0.815,2.445,0,17.93,0,6.52,4.4825,4.075,0
1,27.027,3.9746,1.5898,3.9746,27.027,2.3847,6.3593,7.9491,3.1797,20.668,1.5898,3.1797,6.3593,0.79491,0.79491,0,1.5898,0,4.7695,2.3847,0.79491,1.5898,2.3847,10.334,0.79491,3.9746,31.002,0,22.258,12.719,3.1797,4.7695,2.3847,0,0,7.1542,7.9491,0,46.9,5.5644,3.9746,3.1797,5.5644,8.744,0,3.9746,2.3847,0.79491,3.1797,2.3847,15.103,76.312,3.9746,0.79491,2.3847,0.79491,7.9491,41.335,0,0.79491,2.3847,2.3847,0.79491,0.79491,15.103,0,0.79491,11.129,8.744,0
2,22.862,1.4112,4.7982,0.28225,5.6449,24.838,1.6935,4.2337,9.3141,20.886,5.6449,3.6692,9.0319,2.5402,0.56449,0.28225,1.129,3.9515,9.8786,6.2094,1.9757,5.0804,7.3384,3.9515,0.84674,14.677,4.2337,3.6692,17.782,1.9757,10.725,6.4917,3.387,4.2337,0,2.5402,5.0804,1.129,57.014,7.6207,2.258,1.6935,5.9272,1.6935,1.129,0.28225,2.5402,0.56449,1.6935,3.6692,11.854,94.27,3.6692,0.56449,0.28225,0.28225,7.9029,33.305,0.84674,0,0,1.6935,1.129,0.28225,10.161,2.258,7.0562,4.5159,2.5402,0
2,16.756,1.5232,0.76162,1.5232,31.988,0,11.424,7.6161,0.76162,12.186,0,1.5232,16.756,0.76162,0.76162,0,0,3.0465,6.0929,6.0929,0,0.76162,1.5232,0,0,2.2848,15.232,7.6161,13.709,12.186,9.901,2.2848,7.6161,3.8081,0,1.5232,9.901,0,61.691,6.0929,3.8081,0.76162,6.8545,0.76162,1.5232,1.5232,1.5232,0,1.5232,3.8081,6.0929,95.963,11.424,3.0465,1.5232,0.76162,4.5697,37.319,0,0,3.0465,0,2.2848,0,10.663,12.947,1.5232,1.5232,3.0465,0
2,18.742,4.1296,0.31766,6.6709,26.366,3.1766,2.859,11.436,4.1296,9.8475,4.7649,6.3532,9.5299,0.95299,0.31766,0.31766,0.63532,0.95299,6.6709,9.5299,1.906,6.3532,5.4003,2.5413,6.9886,4.7649,22.554,1.5883,18.424,11.118,3.4943,0.95299,1.906,3.4943,0,3.4943,10.483,1.2706,56.226,6.0356,1.5883,3.1766,5.4003,0,1.5883,0.31766,2.5413,2.5413,5.4003,2.5413,11.118,92.757,2.2236,1.906,0.95299,0,6.0356,43.52,0,0.95299,6.3532,1.906,3.1766,1.2706,9.5299,0.63532,2.2236,6.0356,0.95299,1.2706
3,31.407,2.0938,4.6064,0.41876,5.4439,28.894,2.5126,6.2814,6.7002,25.544,1.675,5.0251,11.725,3.7688,0,0,0.41876,4.6064,6.7002,8.794,0,1.2563,2.9313,1.675,3.7688,12.982,1.2563,2.0938,20.938,2.5126,15.494,7.1189,5.4439,4.6064,0,3.7688,7.1189,0.83752,59.883,7.9564,2.5126,0.83752,5.0251,1.675,0,0.83752,3.7688,2.0938,2.0938,2.9313,14.657,79.564,5.4439,0.83752,0,0.83752,7.1189,33.92,0,0,0,0,2.9313,0.83752,13.4,2.0938,7.1189,5.4439,2.0938,0
1,27.055,1.0406,3.1217,1.0406,3.1217,18.73,3.1217,4.1623,8.3247,26.015,2.0812,2.0812,5.2029,4.1623,1.0406,0,1.0406,3.1217,2.0812,5.2029,0,2.0812,4.1623,10.406,0,6.2435,2.0812,6.2435,14.568,7.2841,9.3652,8.3247,6.2435,3.1217,0,4.1623,5.2029,0,58.273,3.1217,9.3652,0,3.1217,0,3.1217,0,3.1217,0,1.0406,10.406,18.73,74.922,1.0406,0,9.3652,0,5.2029,43.704,1.0406,2.0812,0,0,0,4.1623,11.446,3.1217,9.3652,10.406,14.568,0
2,9.4473,1.8895,3.7789,0.94473,3.3066,29.759,1.8895,3.3066,10.864,24.563,2.8342,1.8895,5.196,0,0,0,0.94473,2.3618,5.6684,3.7789,1.8895,1.8895,8.0302,0,0.47237,8.975,2.8342,3.3066,18.895,1.4171,10.864,4.2513,6.6131,2.8342,0.47237,2.8342,4.7237,0,66.604,4.7237,1.8895,0.47237,3.7789,1.8895,0,1.4171,0.47237,0.47237,0.94473,4.2513,14.171,130.37,3.3066,0.94473,1.4171,0,2.3618,30.704,0,0,1.8895,2.8342,0.47237,0,8.0302,0.47237,15.116,7.0855,5.196,0
2,10.109,6.8742,0.80873,6.4699,33.158,4.8524,3.6393,10.514,6.0655,12.131,4.8524,2.4262,9.7048,0.40437,0.40437,0.40437,0.40437,1.2131,3.6393,6.0655,3.2349,0.80873,6.0655,2.8306,1.6175,4.0437,31.541,0,9.7048,13.344,0.80873,2.4262,2.0218,1.2131,0,0.40437,9.3004,0.40437,63.081,11.322,2.4262,2.0218,4.448,0,1.6175,1.2131,1.2131,0.40437,1.6175,1.6175,11.727,96.239,5.6611,0,1.2131,0,7.683,32.349,0,1.6175,6.0655,2.0218,0.40437,0,8.8961,0.80873,0.40437,12.94,2.8306,0
2,20.476,1.321,0.6605,5.284,21.136,2.9723,2.642,12.88,4.9538,11.559,4.9538,5.9445,9.247,1.6513,0.6605,0,0.99075,0.99075,6.2748,5.6143,4.6235,1.6513,5.284,4.6235,2.3118,2.642,28.402,3.963,14.531,14.201,2.642,1.9815,2.3118,1.9815,0,4.2933,8.9168,0.99075,57.133,12.88,7.2655,1.321,1.321,0.33025,1.6513,1.321,2.642,0.6605,3.963,1.9815,21.466,94.122,1.321,1.321,2.642,0,9.247,29.062,0,1.321,12.219,2.3118,0.33025,0,5.6143,0,1.321,6.2748,3.6328,0
2,19.074,4.065,0,4.3777,24.078,4.6904,2.5016,9.3809,5.0031,16.573,3.4396,4.6904,8.4428,0.93809,0.93809,0.3127,2.8143,0.3127,8.4428,3.127,2.5016,4.6904,4.065,2.8143,9.6936,5.6285,27.205,2.1889,13.446,11.57,2.5016,2.5016,5.6285,2.1889,0,3.127,10.319,0,47.217,6.2539,1.8762,1.2508,4.6904,0.3127,0.3127,0.3127,3.4396,0.62539,2.8143,3.7523,15.635,72.545,7.5047,1.5635,1.5635,0,7.5047,43.152,0.62539,0,5.0031,1.2508,0.62539,1.8762,12.821,2.8143,0.93809,11.57,2.8143,0
2,13.525,9.2984,1.6906,3.8039,40.152,8.0304,6.3398,9.721,2.5359,10.989,2.5359,2.9586,7.6078,0.84531,0.42265,0,0.84531,0.84531,3.3812,6.3398,0.84531,1.268,1.268,0.42265,2.5359,1.6906,32.967,0.42265,8.4531,6.3398,1.268,3.3812,0.42265,0,0,0.84531,9.721,1.268,60.44,6.7625,3.8039,5.4945,15.638,0,5.9172,0.84531,3.8039,0.42265,1.6906,0,13.525,90.448,2.5359,1.268,0,0,5.9172,26.205,0.84531,0.42265,5.9172,1.6906,0,0.42265,7.6078,1.268,0.42265,16.906,0.42265,0
2,20.672,0.73828,3.6914,1.1074,3.6914,37.283,1.1074,6.6445,10.705,17.35,8.8594,4.4297,11.074,0.73828,0.36914,0,0.73828,1.4766,4.4297,7.3828,1.1074,3.6914,9.5976,0.36914,1.8457,13.658,2.584,0.73828,22.887,1.8457,11.074,6.6445,2.584,7.7519,0,1.8457,7.0137,0,57.955,7.0137,2.2148,3.6914,4.7988,2.2148,0,3.6914,2.9531,1.4766,1.4766,1.8457,17.35,84.164,8.4902,0.36914,0.73828,0,6.2754,31.008,0,0.36914,0.73828,1.1074,0.36914,1.1074,16.242,1.1074,3.6914,6.2754,2.584,0
2,24.048,6.68,0,3.34,28.724,0.668,10.02,8.684,3.34,8.016,3.34,5.344,6.68,2.672,0,0,1.336,1.336,3.34,2.672,0.668,2.672,4.008,0,3.34,1.336,22.712,0.668,14.696,10.688,4.008,2.004,4.008,1.336,0,2.004,4.676,0,70.808,8.684,4.008,0.668,6.012,0,0,1.336,3.34,0,1.336,2.672,14.028,101.54,5.344,1.336,2.004,0.668,2.004,35.404,0.668,0.668,0,0.668,2.004,0.668,7.348,3.34,4.008,6.012,0,0
2,28.559,3.8944,1.2981,2.5963,25.097,4.3271,6.058,15.145,3.029,14.28,0.43271,6.058,11.683,0.86543,0.86543,0.86543,0.86543,0.86543,4.3271,4.7598,0.43271,2.5963,2.5963,0.43271,1.7309,3.029,26.828,2.5963,14.712,17.741,0.86543,6.058,6.058,0.86543,0,3.8944,9.9524,0,59.714,10.385,2.1636,1.7309,8.2215,0,0,0.43271,0.43271,0.43271,2.1636,3.8944,11.683,89.139,2.5963,0.86543,0.86543,0.86543,4.7598,30.723,0.86543,0.43271,2.5963,1.2981,2.5963,1.7309,8.6543,1.2981,1.2981,11.683,2.5963,0
1,23.773,5.0582,4.0465,0.50582,6.5756,22.762,2.0233,7.0814,9.6105,13.151,7.5873,3.0349,6.5756,0.50582,0,0,0.50582,1.0116,5.0582,3.5407,2.5291,6.0698,12.14,0,2.0233,12.14,2.5291,3.5407,18.715,2.5291,8.0931,2.5291,3.0349,0.50582,0,1.0116,6.5756,1.0116,76.884,4.5524,6.0698,1.5175,5.564,0,2.0233,2.5291,2.5291,1.0116,2.5291,0.50582,12.645,84.977,7.0814,0.50582,1.5175,0,7.5873,35.407,0,2.0233,1.0116,5.564,0,0.50582,12.645,1.5175,3.5407,7.0814,4.0465,0
1,14.304,1.3004,4.5514,0,6.502,26.658,0.65019,7.1521,9.7529,23.407,0.65019,2.6008,2.6008,3.251,0.65019,0.65019,0.65019,2.6008,2.6008,9.1027,0,0,4.5514,0,0,8.4525,2.6008,1.3004,24.707,0.65019,10.403,9.1027,0.65019,1.3004,0,1.9506,8.4525,0.65019,59.818,0,5.8518,3.251,8.4525,0.65019,6.502,3.251,0.65019,0.65019,3.9012,1.9506,12.354,107.93,3.9012,1.3004,0,0,9.1027,53.316,0,2.6008,0.65019,0.65019,1.3004,0.65019,11.704,0,4.5514,3.9012,7.1521,0
3,12.704,8.167,4.5372,0.90744,2.7223,29.946,4.5372,3.6298,9.9819,28.131,11.797,0.90744,9.9819,0,0.90744,0,1.8149,1.8149,5.4446,7.2595,8.167,0.90744,10.889,0,0,14.519,2.7223,3.6298,25.408,1.8149,5.4446,3.6298,0,0.90744,0,0,9.0744,0,52.632,9.9819,3.6298,0,7.2595,0,0,0.90744,0.90744,4.5372,0.90744,0,10.889,89.837,11.797,0,0,0,6.3521,24.501,0,0.90744,3.6298,0.90744,0,1.8149,8.167,2.7223,6.3521,4.5372,9.9819,0
1,17.531,2.9218,0,6.5741,37.253,1.4609,5.8437,7.3046,2.9218,12.418,0.73046,2.9218,3.6523,4.3828,0,0,1.4609,2.9218,9.496,3.6523,5.1132,4.3828,7.3046,0,2.1914,4.3828,21.914,2.1914,13.879,11.687,1.4609,0.73046,6.5741,2.9218,0,0.73046,5.8437,0.73046,59.167,1.4609,4.3828,2.9218,9.496,0,0.73046,0.73046,0.73046,1.4609,0.73046,2.9218,12.418,97.151,16.801,0,0.73046,0.73046,2.9218,35.062,1.4609,3.6523,0,1.4609,0.73046,6.5741,0,0,13.879,6.5741,2.1914,0
1,23.619,4.0107,4.4563,0,5.3476,16.043,5.3476,5.3476,9.8039,29.857,0.89127,4.0107,9.3583,1.7825,0,0,0,0.89127,5.7932,5.3476,1.3369,3.5651,0,0,0,18.717,4.902,2.6738,35.205,2.2282,12.478,4.4563,1.7825,2.6738,0,1.7825,5.7932,0.44563,63.725,2.6738,2.6738,0.44563,8.467,0,0.89127,2.2282,2.6738,1.3369,1.7825,3.1194,20.499,98.485,6.2389,0.44563,3.5651,0.44563,7.1301,38.324,0,3.5651,0,0.89127,2.6738,0,7.1301,3.1194,9.3583,3.1194,12.478,0
1,19.338,3.0534,2.5445,0,3.5623,22.901,4.0712,3.5623,11.196,24.936,5.0891,5.598,7.1247,6.1069,0,0,0.50891,4.0712,11.705,4.0712,0,5.0891,5.598,0,1.0178,14.758,12.214,2.0356,24.936,3.0534,7.6336,4.5802,1.5267,6.1069,0,2.5445,3.5623,0,56.489,4.0712,2.5445,0.50891,10.178,1.5267,0,2.0356,1.0178,0.50891,2.5445,1.5267,15.776,82.443,4.0712,0.50891,2.5445,0.50891,8.6514,38.168,0,6.6158,1.5267,0.50891,3.0534,0.50891,10.178,3.5623,5.598,6.1069,11.196,0
1,20.344,2.7125,2.7125,0,5.877,21.7,3.6166,8.5895,9.0416,18.987,5.425,4.0687,1.8083,3.1646,0,0.45208,0.90416,0.90416,11.754,5.425,0.90416,2.7125,7.2333,0,0,10.398,4.9729,5.425,24.864,0.90416,7.2333,2.7125,1.8083,1.8083,0.45208,3.6166,6.7812,0.45208,61.031,4.9729,3.6166,1.3562,5.425,2.7125,1.3562,2.7125,1.3562,1.8083,1.3562,1.3562,19.439,83.183,4.5208,0.45208,4.0687,0,6.3291,47.92,0.90416,4.5208,0.90416,0.45208,2.2604,1.3562,12.206,1.8083,7.2333,5.425,9.0416,0
1,26.138,2.5295,0.84317,1.6863,32.04,0,4.2159,7.5885,2.5295,14.334,5.059,5.9022,5.9022,1.6863,0,0.84317,0.84317,0.84317,10.118,5.059,5.059,4.2159,8.4317,0,0,1.6863,25.295,0,10.961,13.491,3.3727,2.5295,3.3727,3.3727,0,1.6863,10.118,0.84317,64.081,4.2159,0.84317,0.84317,9.2749,13.491,0,0,1.6863,4.2159,1.6863,4.2159,10.118,75.042,5.059,0,4.2159,0,4.2159,43.845,0,1.6863,3.3727,5.9022,0.84317,1.6863,6.7454,2.5295,5.9022,8.4317,0.84317,0
3,24.021,1.5666,6.2663,0.52219,2.611,20.888,0.52219,4.6997,14.621,32.898,1.0444,4.6997,12.01,1.5666,0,0.52219,1.0444,1.5666,6.7885,3.6554,0.52219,1.0444,1.5666,0,0,16.71,2.0888,3.6554,26.11,2.611,10.444,8.8773,2.611,5.7441,0,2.0888,4.6997,0,57.963,10.966,2.0888,1.5666,3.6554,0,0.52219,4.6997,2.611,3.1332,3.1332,1.5666,13.055,104.44,3.6554,1.0444,2.0888,0,6.7885,25.587,0,0,0.52219,2.0888,1.0444,0,7.3107,0.52219,12.01,3.1332,4.6997,0
1,26.362,4.6866,1.1716,0.58582,5.2724,22.261,4.1008,2.9291,9.3732,22.261,2.9291,3.5149,8.7873,1.1716,0.58582,1.1716,0.58582,1.7575,5.8582,8.7873,2.3433,2.9291,5.2724,0,11.131,16.989,1.7575,5.2724,21.675,0,7.6157,5.8582,3.5149,2.3433,0,0.58582,4.1008,0,55.653,4.1008,4.6866,1.1716,9.959,0,0.58582,3.5149,2.9291,1.1716,2.9291,2.9291,12.888,101.35,8.2015,0.58582,1.7575,0,4.1008,43.937,0,1.7575,1.7575,1.7575,2.9291,1.1716,10.545,4.1008,4.6866,7.6157,9.3732,0
2,18.018,1.0811,3.2432,5.7658,34.595,3.964,0,3.2432,7.9279,17.297,6.8468,3.964,11.171,1.0811,0.36036,0,0.36036,2.5225,7.9279,3.6036,1.4414,4.6847,7.2072,0,0.36036,10.45,3.2432,1.4414,22.342,2.8829,14.054,6.1261,0.36036,1.4414,0,2.8829,7.9279,0,65.586,7.9279,2.5225,2.5225,5.4054,0.72072,3.2432,0,2.8829,0.36036,2.8829,1.4414,11.532,93.694,4.3243,0.36036,1.0811,0,6.4865,33.153,0,0.72072,1.0811,1.4414,1.0811,0.72072,9.7297,1.4414,2.1622,5.7658,5.4054,0
1,21.815,2.9747,1.9831,0.49579,5.4536,18.344,1.4874,3.9663,8.9241,32.226,5.9494,2.4789,7.9326,2.4789,0,0.49579,0,1.4874,7.9326,5.9494,1.4874,0.49579,8.4284,0,5.9494,16.361,1.9831,1.4874,25.285,1.4874,8.4284,3.4705,3.4705,0.99157,0,1.4874,8.9241,0,63.956,2.4789,2.9747,0.49579,8.9241,0,0,1.4874,2.4789,1.9831,1.9831,2.4789,11.899,108.08,2.4789,0,2.4789,0,8.9241,41.646,0,4.9579,0.99157,0.49579,0.99157,0.49579,11.899,5.9494,14.378,5.9494,12.395,0
1,23.61,3.3228,4.8968,0.34977,3.4977,20.811,2.7982,6.9955,9.4439,18.363,6.121,4.0224,13.816,1.0493,0.69954,0,0.69954,2.0986,6.8206,3.8475,0.87443,3.6726,9.4439,0.87443,0.17489,17.314,3.4977,4.1973,36.201,0.17489,19.412,2.7982,4.0224,2.6233,1.0493,3.4977,6.121,1.0493,56.663,3.148,3.148,1.574,4.547,1.0493,0.87443,1.574,1.2242,1.3991,1.7489,2.7982,20.112,82.896,2.7982,0.17489,3.8475,0,10.318,37.251,0,3.4977,0.69954,0.34977,0.34977,0.17489,13.291,1.7489,4.1973,5.0717,8.3945,0
1,16.117,1.4652,4.0293,0,5.4945,24.176,3.663,6.2271,12.821,28.938,4.7619,3.663,7.6923,5.8608,0.3663,0,1.8315,1.0989,4.3956,8.0586,1.0989,3.2967,8.4249,0,0,12.821,6.2271,2.9304,23.81,1.4652,12.821,5.4945,3.663,3.663,0.7326,1.8315,5.1282,0.3663,64.469,2.1978,2.1978,0.7326,10.256,0.7326,1.0989,1.8315,0.3663,0,2.5641,2.1978,15.385,90.842,5.1282,0.3663,6.5934,0.7326,8.4249,43.59,0,2.1978,0,0.3663,1.8315,1.4652,9.8901,1.4652,9.8901,5.1282,1.8315,0
3,18.97,3.794,1.626,1.084,1.626,20.054,3.794,4.336,8.6721,24.932,8.6721,3.252,11.924,3.794,0,0,1.626,2.71,7.0461,6.5041,1.084,1.626,10.298,0,1.626,17.344,3.252,2.71,17.886,0.542,10.298,3.794,3.794,4.878,0,2.168,5.9621,0,53.659,10.298,2.168,3.252,3.794,1.084,1.084,2.168,2.71,1.626,0.542,0,16.26,99.729,4.878,0.542,0,0,8.1301,38.482,0,0,5.9621,5.4201,1.084,1.626,11.382,0,5.4201,5.9621,4.336,0
2,20.33,2.6851,4.9866,0.38358,2.3015,24.549,1.5343,7.6717,12.658,19.946,3.0687,5.3702,12.658,0.38358,0,0,0.38358,2.3015,5.3702,8.8224,0,3.4522,1.1507,0,0.38358,16.878,7.6717,1.9179,28.002,1.1507,21.864,2.3015,2.3015,1.9179,0,2.6851,8.4388,0.76716,59.455,9.5896,4.9866,2.3015,5.3702,0.76716,0,0.38358,3.0687,1.1507,1.5343,3.0687,10.74,114.31,6.1373,1.1507,0,0.38358,8.0552,34.522,0,0,0.76716,2.3015,0.76716,0.38358,10.357,0,5.7537,4.603,3.0687,0
2,15.283,3.7175,1.2392,3.7175,24.37,7.0219,2.0653,7.848,1.2392,6.6088,4.9566,4.1305,16.935,0,0,0,0.41305,0,2.8914,9.0872,5.7827,1.2392,5.3697,7.848,2.0653,1.2392,29.327,2.8914,7.848,13.218,0.8261,1.2392,0.41305,1.2392,0,3.3044,9.9133,0,63.61,9.0872,1.2392,2.4783,5.3697,0.41305,4.5436,0,1.2392,3.7175,3.7175,2.0653,17.348,100.37,3.3044,1.2392,0.41305,0.41305,3.7175,31.805,0,0,14.044,2.8914,0,0.41305,7.4349,1.6522,0,11.979,0.41305,0
1,17.281,2.5413,3.5578,1.0165,3.5578,21.601,7.6239,8.1321,7.878,20.839,4.3202,4.5743,7.1156,2.7954,1.0165,0,1.0165,1.5248,6.8615,5.0826,0.25413,4.3202,6.6074,0,1.0165,13.977,1.7789,1.7789,21.855,0.50826,16.264,5.5909,1.7789,2.7954,0.25413,6.6074,6.8615,2.033,70.14,5.0826,1.2706,2.2872,5.3367,1.2706,5.5909,0.25413,1.2706,0.25413,3.0496,3.5578,18.297,92.503,7.1156,0.25413,4.0661,0.76239,9.1487,33.037,0.25413,2.7954,1.7789,1.7789,2.5413,1.2706,12.706,2.033,9.1487,3.5578,3.8119,0
2,23.599,2.5284,0.42141,4.2141,29.077,2.107,3.3713,13.906,5.8997,13.485,4.6355,3.7927,13.064,0,0,0,0.84281,1.6856,4.2141,4.6355,3.7927,2.9499,2.5284,5.4783,1.6856,3.3713,23.599,0.42141,13.906,20.228,3.7927,2.107,2.5284,2.9499,0,2.9499,8.0067,1.6856,57.733,9.271,1.6856,2.5284,3.3713,0,0,0.84281,2.107,1.2642,3.7927,1.2642,20.649,92.288,0.42141,1.6856,2.9499,0,6.7425,31.184,0.42141,1.2642,14.749,5.4783,0.84281,0.84281,9.6924,0.42141,0.84281,6.7425,0.42141,0
1,19.982,1.7762,3.1083,0,5.7726,28.863,3.5524,6.6607,9.7691,19.982,2.2202,5.3286,4.4405,2.6643,0.44405,0.8881,0.8881,2.2202,4.8845,3.5524,0.8881,1.3321,3.9964,0.44405,4.4405,11.545,1.3321,3.1083,20.87,2.2202,18.206,3.5524,3.9964,0.44405,0,2.6643,8.4369,0.44405,56.838,3.5524,2.2202,0.8881,5.3286,1.3321,1.7762,4.4405,3.1083,0.44405,1.3321,3.5524,16.43,82.593,8.4369,0,2.2202,0,6.2167,44.405,0.44405,3.9964,0,1.7762,0.44405,1.7762,9.7691,2.6643,9.325,5.3286,7.1048,0
1,32.471,3.0441,5.0736,1.0147,9.6398,20.802,3.0441,3.0441,9.1324,19.28,4.5662,2.0294,8.1177,4.0589,0.50736,0,0,0.50736,9.6398,6.5956,1.5221,4.5662,6.5956,0,3.0441,14.713,3.0441,3.0441,30.441,0,10.654,1.0147,3.5515,2.0294,0.50736,1.0147,3.0441,0.50736,72.045,1.5221,2.0294,2.0294,4.5662,0,1.5221,1.0147,2.0294,3.0441,3.0441,3.0441,16.235,91.324,6.0883,0,1.5221,0,8.6251,36.022,0.50736,5.0736,1.0147,1.0147,4.5662,2.0294,7.6104,1.5221,5.0736,3.0441,16.235,0
2,19.203,0.96015,0,4.8008,18.723,2.8805,1.4402,8.6414,4.3207,11.042,2.4004,4.3207,11.042,2.4004,0,0,0.96015,0.96015,6.7211,9.6015,1.9203,3.3605,6.241,4.8008,7.6812,1.9203,23.524,2.8805,19.203,18.723,3.8406,1.4402,3.3605,2.4004,0,5.2808,9.1215,0.96015,64.33,4.3207,1.9203,1.4402,3.3605,0,1.4402,1.4402,1.9203,1.9203,4.3207,2.4004,12.002,105.14,4.8008,0.96015,1.4402,0,9.6015,34.566,0.48008,0,3.3605,1.4402,0,0,10.562,0,2.8805,9.6015,2.8805,0.48008
